name,gender
jairam,male
aarav,male
vihaan,male
aditya,male
arjun,male
rahul,male
rohit,male
karthik,male
vignesh,male
surya,male
pranav,male
manoj,male
sandeep,male
naveen,male
rakesh,male
anil,male
amit,male
varun,male
dev,male
harsh,male
sachin,male
akshay,male
nikhil,male
vivek,male
abhishek,male
omkar,male
krishna,male
mahesh,male
gopal,male
balaji,male
vinay,male
dinesh,male
lokesh,male
yogesh,male
shyam,male
tejas,male
mohan,male
ravi,male
samir,male
farhan,male
ibrahim,male
imran,male
zain,male
faizan,male
anish,male
nitin,male
gaurav,male
deepak,male
ashwin,male
naren,male
prem,male
bala,male
rajesh,male
raman,male
siddharth,male
harish,male
mukesh,male
arun,male
kiran,male
pradeep,male
sneha,female
aadhya,female
ananya,female
diya,female
riya,female
priya,female
pooja,female
kavya,female
lakshmi,female
meera,female
isha,female
nisha,female
neha,female
anjali,female
swathi,female
divya,female
bhavya,female
nikita,female
shruti,female
shreya,female
sonal,female
sonia,female
payal,female
vaishnavi,female
keerthi,female
hima,female
jahnavi,female
nandini,female
sowmya,female
gayathri,female
janani,female
harini,female
varsha,female
sanjana,female
anusha,female
madhuri,female
renuka,female
usha,female
radha,female
hema,female
sushma,female
pragya,female
deepa,female
aruna,female
komal,female
rupal,female
simran,female
fathima,female
aafreen,female
zoya,female
hina,female
saba,female
farah,female
rani,female
geetha,female
revathi,female
mala,female
pallavi,female
ishita,female
